"Lon","Lat","distanza_segmento","distanza_cumulata"
12.583,44.104,0,0
12.542,44.104,0.0410000000000004,0.0410000000000004
12.5,44.146,0.059396969619671,0.100396969619671
12.458,44.188,0.0593969696196685,0.15979393923934
12.417,44.229,0.0579827560572937,0.217776695296633
12.375,44.271,0.059396969619676,0.27717366491631
12.375,44.313,0.0419999999999945,0.319173664916304
12.333,44.354,0.0586941223633206,0.377867787279625
12.333,44.396,0.0420000000000016,0.419867787279626
12.333,44.438,0.0420000000000016,0.461867787279628
12.292,44.479,0.0579827560572987,0.519850543336926
12.292,44.521,0.0420000000000016,0.561850543336928
12.292,44.563,0.0419999999999945,0.603850543336923
12.292,44.604,0.0409999999999968,0.644850543336919
12.292,44.646,0.0420000000000087,0.686850543336928
12.292,44.688,0.0419999999999945,0.728850543336923
12.292,44.729,0.0409999999999968,0.769850543336919
12.292,44.771,0.0420000000000016,0.811850543336921
12.333,44.771,0.0410000000000004,0.852850543336921
12.375,44.771,0.0420000000000034,0.894850543336925
12.417,44.771,0.0419999999999963,0.936850543336921
12.458,44.771,0.0410000000000021,0.977850543336923
12.5,44.813,0.0593969696196722,1.0372475129566
12.5,44.854,0.0409999999999897,1.07824751295659
12.542,44.896,0.0593969696196785,1.13764448257626
12.583,44.938,0.0586941223633157,1.19633860493958
12.583,44.979,0.0410000000000039,1.23733860493958
12.542,45.021,0.0586941223633118,1.2960327273029
12.5,45.021,0.0420000000000016,1.3380327273029
12.458,45.063,0.059396969619671,1.39742969692257
12.417,45.063,0.0410000000000004,1.43842969692257
12.375,45.104,0.0586941223633144,1.49712381928588
12.375,45.146,0.0420000000000016,1.53912381928588
12.333,45.188,0.0593969696196722,1.59852078890556
12.333,45.229,0.0409999999999897,1.63952078890555
12.333,45.271,0.0420000000000087,1.68152078890555
12.333,45.271,0,1.68152078890555
12.333,45.313,0.0420000000000016,1.72352078890556
12.375,45.354,0.0586941223633157,1.78221491126887
12.375,45.396,0.0420000000000087,1.82421491126888
12.417,45.396,0.0419999999999998,1.86621491126888
12.458,45.396,0.0410000000000004,1.90721491126888
12.5,45.438,0.059396969619666,1.96661188088855
12.542,45.438,0.0419999999999998,2.00861188088855
12.583,45.438,0.0410000000000004,2.04961188088855
12.625,45.479,0.0586941223633194,2.10830600325187
12.667,45.479,0.0420000000000016,2.15030600325187
12.708,45.521,0.0586941223633169,2.20900012561518
12.75,45.521,0.0420000000000016,2.25100012561519
12.792,45.521,0.0419999999999998,2.29300012561519
12.833,45.563,0.0586941223633157,2.3516942479785
12.875,45.563,0.0420000000000016,2.3936942479785
12.917,45.604,0.0586941223633194,2.45238837034182
12.958,45.604,0.0410000000000004,2.49338837034182
13,45.604,0.0419999999999998,2.53538837034182
13.042,45.604,0.0419999999999998,2.57738837034182
13.083,45.604,0.0410000000000004,2.61838837034182
13.125,45.646,0.0593969696196672,2.67778533996149
13.167,45.688,0.0593969696196735,2.73718230958116
13.208,45.688,0.0410000000000021,2.77818230958117
13.25,45.688,0.0420000000000016,2.82018230958117
13.292,45.688,0.041999999999998,2.86218230958117
13.333,45.646,0.0586941223633232,2.92087643194449
13.375,45.646,0.041999999999998,2.96287643194449
13.417,45.646,0.0420000000000016,3.00487643194449
13.458,45.688,0.058694122363322,3.06357055430781
13.5,45.688,0.0420000000000016,3.10557055430781
13.542,45.729,0.0586941223633082,3.16426467667112
13.583,45.729,0.0410000000000021,3.20526467667112
13.625,45.729,0.041999999999998,3.24726467667112
13.667,45.729,0.0419999999999998,3.28926467667112
13.708,45.688,0.0579827560572924,3.34724743272841
13.708,45.646,0.0420000000000087,3.38924743272842
13.708,45.604,0.0419999999999945,3.43124743272842
13.667,45.563,0.0579827560573012,3.48923018878572
13.625,45.563,0.0419999999999998,3.53123018878572
13.583,45.563,0.0419999999999998,3.57323018878572
13.542,45.521,0.0586941223633182,3.63192431114903
13.5,45.521,0.0419999999999998,3.67392431114903
13.5,45.438,0.0829999999999984,3.75692431114903
13.5,45.396,0.0419999999999945,3.79892431114903
13.5,45.354,0.0420000000000016,3.84092431114903
13.5,45.313,0.0410000000000039,3.88192431114903
13.542,45.271,0.059396969619671,3.9413212807687
13.542,45.229,0.0420000000000016,3.98332128076871
13.542,45.188,0.0409999999999968,4.0243212807687
13.542,45.146,0.0420000000000016,4.0663212807687
13.583,45.104,0.0586941223633169,4.12501540313202
13.583,45.063,0.0410000000000039,4.16601540313202
13.625,45.021,0.059396969619671,4.2254123727517
13.667,45.021,0.0420000000000016,4.2674123727517
13.708,44.979,0.0586941223633232,4.32610649511502
13.708,44.938,0.0409999999999968,4.36710649511502
13.708,44.896,0.0420000000000016,4.40910649511502
13.75,44.854,0.0593969696196748,4.46850346473469
13.792,44.813,0.0586941223633107,4.527197587098
13.833,44.813,0.0410000000000021,4.56819758709801
13.875,44.771,0.0593969696196748,4.62759455671768
